Date,ozone,AOD,year,month,day
160808,279.333,0.242,2016,8,8
160809,270.3,0.212,2016,8,9
160810,289.733,0.226,2016,8,10
160811,285.5,0.319,2016,8,11
160812,291.189,0.157,2016,8,12
160813,280.758,0.543,2016,8,13
160814,273.9,0.286,2016,8,14
160815,280.758,0.286,2016,8,15
160816,275.0,0.286,2016,8,16
160817,280.578,0.286,2016,8,17
160818,269.789,0.326,2016,8,18
160819,278.567,0.228,2016,8,19
160820,280.758,0.286,2016,8,20
160821,285.4,0.286,2016,8,21
160822,284.933,0.286,2016,8,22
160823,273.278,0.181,2016,8,23
160824,276.189,0.251,2016,8,24
160825,280.456,0.274,2016,8,25
160826,287.844,0.155,2016,8,26
160827,293.667,0.438,2016,8,27
160828,281.433,0.158,2016,8,28
160829,280.758,0.286,2016,8,29
160830,278.5,0.286,2016,8,30
160831,283.178,0.286,2016,8,31
160901,276.933,0.279,2016,9,1
160902,276.511,0.279,2016,9,2
160903,268.411,0.279,2016,9,3
160904,265.2,0.279,2016,9,4
160905,269.272,0.279,2016,9,5
160906,273.7,0.279,2016,9,6
160907,271.056,0.492,2016,9,7
160908,267.789,0.215,2016,9,8
160909,268.789,0.213,2016,9,9
160910,276.689,0.362,2016,9,10
160911,282.867,0.206,2016,9,11
160912,287.833,0.364,2016,9,12
160913,280.822,0.279,2016,9,13
160914,269.272,0.275,2016,9,14
160915,266.067,0.279,2016,9,15
160916,269.272,0.279,2016,9,16
160917,265.133,0.279,2016,9,17
160918,270.322,0.239,2016,9,18
160919,266.378,0.279,2016,9,19
160920,255.5,0.177,2016,9,20
160921,269.272,0.279,2016,9,21
160922,275.767,0.148,2016,9,22
160923,256.7,0.4,2016,9,23
160924,256.511,0.279,2016,9,24
160925,254.989,0.26,2016,9,25
160926,269.272,0.279,2016,9,26
160927,265.633,0.279,2016,9,27
160928,269.272,0.279,2016,9,28
160929,263.656,0.279,2016,9,29
160930,269.272,0.279,2016,9,30
161001,247.6,0.154,2016,10,1
161002,243.178,0.154,2016,10,2
161003,253.955,0.154,2016,10,3
161004,259.022,0.113,2016,10,4
161005,253.955,0.154,2016,10,5
161006,262.622,0.142,2016,10,6
161007,253.955,0.154,2016,10,7
161008,264.567,0.154,2016,10,8
161009,253.955,0.154,2016,10,9
161010,260.467,0.154,2016,10,10
161011,254.1,0.288,2016,10,11
